@relation bugset2

@attribute loc numeric
@attribute v(g) numeric
@attribute ev(g) numeric
@attribute iv(g) numeric
@attribute n numeric
@attribute v numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute e numeric
@attribute b numeric
@attribute t numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defects {false,true}

@data

31,9,6,3,120,610.5,0.04,25.88,23.59,15796.57,0.2,877.59,23,1,5,18,16,74,46,17,false
17,2,1,1,43,185.84,0.13,7.5,24.78,1393.82,0.06,77.43,13,0,1,10,10,28,15,3,false
10,1,1,1,26,104,0.23,4.28,24.31,444.89,0.03,24.72,5,0,3,7,9,15,11,1,true
44,5,1,1,115,534.04,0.04,26.73,19.98,14273.53,0.18,792.97,27,5,6,14,11,73,42,9,false
6,1,1,1,16,57.36,0.29,3.5,16.39,200.76,0.02,11.15,0,4,0,7,5,11,5,1,false
78,9,4,8,235,1364.73,0.03,31.36,43.51,42802.85,0.45,2377.94,62,2,11,23,33,145,90,17,true
231,37,24,25,808,5402.69,0.02,58.8,91.89,317656.99,1.8,17647.61,183,38,8,27,76,477,331,73,false
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
20,3,3,2,75,378.33,0.07,14.12,26.8,5341.12,0.13,296.73,16,0,2,16,17,45,30,5,false
16,2,1,1,36,155.59,0.09,11.25,13.83,1750.38,0.05,97.24,7,3,4,12,8,21,15,3,false
29,4,3,3,133,768.92,0.05,19.35,39.73,14882.34,0.26,826.8,4,21,14,24,31,83,50,7,false
86,12,1,2,136,789.8,0.05,18.38,42.98,14512.58,0.26,806.25,70,0,14,24,32,87,49,13,true
11,5,5,1,41,170.97,0.11,9.5,18,1624.19,0.06,90.23,10,0,1,9,9,22,19,9,false
46,8,1,3,93,431.88,0.04,25.45,16.97,10993.27,0.14,610.74,33,4,1,14,11,53,40,15,false
21,3,1,3,38,174.23,0.08,12.5,13.94,2177.86,0.06,120.99,15,0,3,15,9,23,15,5,false
5,1,1,1,14,44.38,0.27,3.75,11.83,166.42,0.01,9.25,3,0,0,5,4,8,6,1,false
21,1,1,1,52,208,0.1,10.29,20.22,2139.43,0.07,118.86,15,0,4,9,7,36,16,1,false
29,4,1,4,68,307.6,0.06,17.89,17.2,5502.66,0.1,305.7,20,2,5,14,9,45,23,7,false
11,1,1,1,23,89.86,0.13,8,11.23,718.87,0.03,39.94,6,1,1,10,5,15,8,1,false
233,23,11,22,709,4345.66,0.02,47.11,92.24,204728.95,1.45,11373.83,194,7,30,16,54,391,318,45,false
41,4,1,4,129,704.27,0.06,16,44.02,11268.27,0.23,626.01,36,0,2,16,28,73,56,7,false
24,4,1,4,50,235.02,0.12,8.5,27.65,1997.69,0.08,110.98,20,0,4,13,13,33,17,7,false
14,1,1,1,46,208.08,0.2,5.07,41.07,1054.29,0.07,58.57,9,0,3,8,15,27,19,1,false
308,47,13,26,1036,7834.48,0.02,54.2,144.54,424664.6,2.61,23592.48,267,7,23,35,154,559,477,84,true
41,5,1,3,111,573.86,0.05,19,30.2,10903.37,0.19,605.74,28,2,6,18,18,73,38,9,true
5,1,1,1,12,41.51,0.25,4,10.38,166.05,0.01,9.23,3,0,0,8,3,9,3,1,false
40,4,1,4,102,495.51,0.09,11.61,42.68,5753.47,0.17,319.64,29,1,7,11,18,64,38,7,false
128,2,1,2,683,4840.74,0.11,9.22,524.75,44654.86,1.61,2480.83,102,3,21,7,129,343,340,3,false
9,2,1,1,53,232.79,0.06,17.06,13.64,3972.03,0.08,220.67,2,2,5,13,8,32,21,3,false
78,11,1,2,116,640.73,0.07,14.43,44.42,9243.17,0.21,513.51,63,0,13,19,27,75,41,12,false
9,3,3,1,24,101.95,0.15,6.86,14.87,699.09,0.03,38.84,6,0,1,12,7,16,8,5,false
11,1,1,1,14,50.19,0.24,4.2,11.95,210.8,0.02,11.71,4,4,1,7,5,8,6,1,false
19,1,1,1,54,240.81,0.15,6.67,36.12,1605.4,0.08,89.19,10,1,5,10,12,38,16,1,false
39,9,9,5,208,1233.59,0.03,35.34,34.9,43599.82,0.41,2422.21,29,0,8,29,32,130,78,17,true
15,2,1,2,28,106.61,0.15,6.67,15.99,710.71,0.04,39.48,10,0,2,8,6,18,10,3,false
